"","FSCSKEY","FSCS_SEQ","STABR","LIBID","LIBNAME","ADDRESS","CITY","ZIP","LOCALE_ADD","LOCALE","LOCALE_ADD_DESCR","LOCALE_TOP_LEVEL_DESCR","LONGITUD","LATITUDE","PLS_YEAR","POPU_LSA","POPU_LSA_YEAR"
"42","CO0108",NA,"CO","FSCS0108","NORTHERN SAGUACHE COUNTY LIBRARY DISTRICT","702 PITKIN AVE","SAGUACHE",81149,43,NA,"Rural Remote","Rural",-106.1410913,38.08460058,2020,3282,2020
"43","CO0143",NA,"CO","ID003","CLEAR CREEK COUNTY LIBRARY DISTRICT","809 TAOS ST.","GEORGETOWN",80444,42,NA,"Rural Distant","Rural",-105.6956775,39.70764662,2020,9740,2020
"44","CO0144",NA,"CO","ID0004","DELTA COUNTY PUBLIC LIBRARY DISTRICT","149 E. MAIN","HOTCHKISS",81419,43,NA,"Rural Remote","Rural",-107.7206628,38.79987762,2020,31273,2020
"45","CO0145",NA,"CO","ID0006","HIGH PLAINS LIBRARY DISTRICT","2650 W. 29TH ST.","GREELEY",80631,12,NA,"City Midsize","City",-104.7243073,40.391121,2020,302022,2020
"46","DE0046",999,"DE","DE0046","DEPARTMENT OF COMMUNITY SERVICES","77 READS WAY","NEW CASTLE",19720,21,NA,"Suburban Large","Suburban",-75.61248512,39.68761621,2020,457512,2020
"47","FL0018",NA,"FL","FSCS5016","CITRUS COUNTY LIBRARY SYSTEM","425 W. ROOSEVELT BOULEVARD","BEVERLY HILLS",34465,23,NA,"Suburban Small","Suburban",-82.44211582,28.91036234,2020,149383,2020
"48","FL0042",NA,"FL","FL0042","LEE COUNTY LIBRARY SYSTEM","2345 UNION STREET","FORT MYERS",33901,13,NA,"City Small","City",-81.86548689,26.63862287,2020,750493,2020
"49","FL0056",NA,"FL","FSCS5063","BOCA RATON PUBLIC LIBRARY","1501 NW SPANISH RIVER BLVD.","BOCA RATON",33431,13,NA,"City Small","City",-80.11422896,26.38667749,2020,95139,2020
"50","FL0065",NA,"FL","FL0065","PASCO COUNTY PUBLIC LIBRARY COOPERATIVE","8012 LIBRARY ROAD","HUDSON",34667,21,NA,"Suburban Large","Suburban",-82.68228509,28.35454082,2020,542795,2020
"51","FL0091",NA,"FL","FSCS5094","ST. JOHNS COUNTY PUBLIC LIBRARY SYSTEM","6670 US 1 SOUTH","ST. AUGUSTINE",32086,41,NA,"Rural Fringe","Rural",-81.3131442,29.75874589,2020,261900,2020
"52","FL0093",NA,"FL","FSCS5091","SARASOTA COUNTY PUBLIC LIBRARIES","1660 RINGLING BLVD.","SARASOTA",34236,13,NA,"City Small","City",-82.53692763,27.33441744,2020,438816,2020
"53","FL0127",999,"FL","FL0127","PINELLAS PUBLIC LIBRARY COOPERATIVE","1330 CLEVELAND STREET","CLEARWATER",33755,12,NA,"City Midsize","City",-82.78180401,27.96567747,2020,960262,2020
"54","FL0135",999,"FL","FL0135","WILDERNESS COAST PUBLIC LIBRARIES","1180 WEST WASHINGTON STREET","MONTICELLO",32344,42,NA,"Rural Distant","Rural",-83.88063128,30.54502985,2020,60239,2020
"55","FL0136",999,"FL","FL0136","PANHANDLE PUBLIC LIBRARY COOPERATIVE SYSTEM","4487 LAFAYETTE ST. SUITE 4","MARIANNA",32446,32,NA,"Town Distant","Town",-85.22194458,30.77389034,2020,81077,2020
"56","FL0146",NA,"FL","FL0146","SUMTER COUNTY LIBRARY SYSTEM","7375 POWELL ROAD, SUITE 150","WILDWOOD",34785,41,NA,"Rural Fringe","Rural",-82.02050039,28.86311565,2020,141422,2020
"57","FL0147",999,"FL","FL0147","THREE RIVERS REGIONAL LIBRARY SYSTEM","305 W. MAIN ST.","MAYO",32066,43,NA,"Rural Remote","Rural",-83.17861605,30.05299746,2020,66058,2020
"58","FL0150",NA,"FL","FL0150","HEARTLAND LIBRARY COOPERATIVE","319 W. CENTER AVE.","SEBRING",33870,13,NA,"City Small","City",-81.44379301,27.49495595,2020,225080,2020
"59","FL0259",NA,"FL","FL7000","PAL PUBLIC LIBRARY COOPERATIVE","7871 NE 90TH STREET","BRONSON",32621,42,NA,"Rural Distant","Rural",-82.64161207,29.46332772,2020,387010,2020
"60","FL8001",NA,"FL","FL8001","POLK COUNTY LIBRARY COOPERATIVE","2150 S. BROADWAY AVE.","BARTOW",33830,21,NA,"Suburban Large","Suburban",-81.8431425,27.87345,2020,715090,2020
"61","FL8003",999,"FL","FL8003","OKALOOSA COUNTY PUBLIC LIBRARY COOPERATIVE","206 N. PARTIN DR.","NICEVILLE",32578,22,NA,"Suburban Midsize","Suburban",-86.47646728,30.52277263,2020,203951,2020
"62","GA0017",NA,"GA","GA0017","DEKALB COUNTY PUBLIC LIBRARY","3560 KENSINGTON RD.","DECATUR",30032,21,NA,"Suburban Large","Suburban",-84.2439,33.77137,2019,793154,2020
"63","HI0001",999,"HI","FSCS0001","HAWAII STATE PUBLIC LIBRARY SYSTEM","44 MERCHANT STREET","HONOLULU",96813,11,NA,"City Large","City",-157.8631567,21.309431,2020,1415872,2020
"64","ID0062",NA,"ID","IDMEN","JEFFERSON COUNTY DISTRICT","623A N 3500 E","MENAN",83434,42,NA,"Rural Distant","Rural",-112.0032887,43.7173624,2020,6529,2020
"65","ID0112",NA,"ID","IDFE","BENEWAH DISTRICT","212 W IRONWOOD DRIVE #D-136","COEUR D'ALENE",83814,13,NA,"City Small","City",-116.7887253,47.69485745,2020,6479,2020
"66","ID0120",NA,"ID","IDCC","COMMUNITY LIBRARY NETWORK","821 N SPOKANE ST","POST FALLS",83854,23,NA,"Suburban Small","Suburban",-116.9481075,47.71641998,2020,120457,2020
"67","IL0234",999,"IL","30337","HAYNER PUBLIC LIBRARY DISTRICT","401 STATE STREET","ALTON",62002,NA,23,"Suburban Small","Suburban",-90.188409,38.892317,2014,49374,2020
"68","IN0210",999,"IN","8492","INDIANAPOLIS PUBLIC LIBRARY","40 EAST ST CLAIR","INDIANAPOLIS",46204,11,NA,"City Large","City",-86.15677397,39.77796752,2020,877389,2020
"69","KS0133",NA,"KS","KS0161","KANSAS CITY, KANSAS PUBLIC LIBRARY","625 MINNESOTA AVENUE","KANSAS CITY",66101,12,NA,"City Midsize","City",-94.62516347,39.11550124,2020,157525,2020
