"","FSCSKEY","FSCS_SEQ","LIBID","LIBNAME","ADDRESS","CITY","STABR","ZIP","C_ADMIN","C_OUT_TY","LATITUDE","LONGITUD","PLS_YEAR","n","ros_entity_number"
"5599","VA0026",26,"VA0026-026","ACCESS SERVICES","12000 GOVERNMENT CENTER PARKWAY","FAIRFAX","VA",22035,NA,"BR",38.854103,-77.35654602,2020,1,NA
"5600","VA0026",27,"VA0026-027","KINGSTOWNE COMMUNITY LIBRARY","6500 LANDSDOWNE CENTRE","ALEXANDRIA","VA",22315,NA,"BR",38.74027139,-77.16474536,2020,1,NA
"5601","VA0026",28,"VA0026-028","BURKE CENTRE COMMUNITY LIBRARY","5935 FREDS OAK ROAD","BURKE","VA",22015,NA,"BR",38.78788982,-77.31771886,2020,1,NA
"5602","VA0026",29,"VA0026-029","OAKTON COMMUNITY LIBRARY","10304 LYNNHAVEN PLACE","OAKTON","VA",22124,NA,"BR",38.8834524,-77.30246455,2020,1,NA
"5603","VA0026",999,"VA0026","FAIRFAX COUNTY PUBLIC LIBRARY","12000 GOVERNMENT CENTER PARKWAY SUI","FAIRFAX","VA",22035,"MA",NA,38.854103,-77.35654602,2020,1,NA
"5604","VA0028",2,"VA0028-002","FAUQUIER COUNTY PUBLIC LIBRARY","11 WINCHESTER STREET","WARRENTON","VA",20186,NA,"CE",38.71443434,-77.79551232,2020,1,NA
"5605","VA0028",4,"VA0028-002","BEALETON BRANCH","10877 WILLOW DRIVE NORTH","BEALETON","VA",22712,NA,"BR",38.5773652,-77.76240816,2020,1,NA
"5606","VA0028",5,"VA0028-005","JOHN MARSHALL BRANCH","4133 RECTORTOWN ROAD","MARSHALL","VA",20115,NA,"BR",38.86809349,-77.855686,2020,1,NA
"5607","VA0030",3,"VA0030-003","FRANKLIN COUNTY BOOKMOBILE","355 FRANKLIN STREET","ROCKY MOUNT","VA",24151,NA,"BS",36.9978437,-79.89200836,2020,1,NA
"5608","VA0030",4,"VA0030-004","WESTLAKE LIBRARY","84 WESTLAKE RD.","HARDY","VA",24101,NA,"BR",37.1182712,-79.71832242,2020,1,NA
"5609","VA0031",2,"VA0031-002","GALAX PUBLIC LIBRARY","610 WEST STUART DRIVE","GALAX","VA",24333,NA,"CE",36.65792744,-80.92995058,2020,1,NA
"5610","VA0031",3,"VA0031-003","CARROLL COUNTY PUBLIC LIBRARY","101 BEAVER DAM ROAD","HILLSVILLE","VA",24343,NA,"BR",36.77241862,-80.73964424,2020,1,NA
"5611","VA0036",999,"VA0036","HENRICO COUNTY PUBLIC LIBRARY","1700 NORTH PARHAM ROAD","HENRICO","VA",23229,"MA",NA,37.60779836,-77.5646649,2020,1,NA
"5612","VA0037",NA,"VA0037","HERITAGE PUBLIC LIBRARY","6215-D CHESAPEAKE CIRCLE","NEW KENT","VA",23124,"MO",NA,37.490381,-77.027111,2016,1,NA
"5613","VA0040",9,"VA0040-009","JEFFERSON-MADISON BOOKMOBILE","705 W. RIO RD","CHARLOTTESVILLE","VA",22901,NA,"BS",38.08377328,-78.47577233,2020,1,NA
"5614","VA0040",999,"VA0040","JEFFERSON-MADISON REGIONAL LIBRARY","201 EAST MARKET STREET","CHARLOTTESVILLE","VA",22902,"MA",NA,38.03122055,-78.47999706,2020,1,NA
"5615","VA0041",3,"VA0041-003","LANCASTER STORYMOBILE","235 SCHOOL STREET","KILMARNOCK","VA",22482,NA,"BS",37.71404758,-76.38281454,2020,1,NA
