"FSCSKEY","FSCS_SEQ","PLS_YEAR"
"AK0102",2,2014
"AK0102",2,2015
"AK0102",2,2016
"AK0102",2,2017
"AK0102",2,2018
"AK0102",2,2019
"AK0102",2,2020
"AK0103",2,2014
"AK0103",2,2015
"AK0103",2,2016
"AK0103",2,2017
"AK0103",2,2018
"AK0103",2,2019
"AK0103",2,2020
"AK0104",2,2014
"AK0104",2,2015
"AK0104",2,2016
"AK0104",2,2017
"AK0104",2,2018
"AK0104",2,2019
"AK0104",2,2020
"AK0113",2,2014
"AK0113",2,2015
"AK0113",2,2016
"AK0113",2,2017
"AK0113",2,2018
"AK0113",2,2019
"AK0113",2,2020
"AK0114",2,2014
"AK0114",2,2015
"AK0114",2,2016
"AK0114",2,2017
"AK0114",2,2018
"AK0115",2,2014
"AK0115",2,2015
"AK0115",2,2016
"AK0115",2,2017
"AK0115",2,2018
"AK0115",2,2019
"AK0115",2,2020
"AK0116",1,2014
"AK0116",1,2015
"AK0116",1,2016
"AK0116",1,2017
"AK0116",1,2018
"AK0116",1,2019
"AK0116",1,2020
"AK0117",1,2014
"AK0117",1,2015
"AK0117",1,2016
"AK0117",1,2017
"AK0117",1,2018
"AK0117",1,2019
"AK0117",1,2020
"AK0120",1,2014
"AK0120",1,2015
"AK0120",1,2016
"AK0120",1,2017
"AK0120",1,2018
"AK0120",1,2019
"AK0120",1,2020
"AK0121",1,2014
"AK0121",1,2015
"AK0121",1,2016
"AK0121",1,2017
"AK0121",1,2018
"AK0121",1,2019
"AK0121",1,2020
"AK0122",1,2014
"AK0122",1,2015
"AK0122",1,2016
"AK0122",1,2017
"AK0122",1,2018
"AK0122",1,2019
"AK0122",1,2020
"AK0123",1,2015
"AK0123",1,2016
"AK0123",1,2017
"AK0124",1,2014
"AK0124",1,2015
"AK0124",1,2016
"AK0124",1,2017
"AK0124",1,2018
"AK0124",1,2019
"AK0124",1,2020
"AK0126",1,2014
"AK0126",1,2015
"AK0126",1,2016
"AK0126",1,2017
"AK0126",1,2018
"AK0126",1,2019
"AK0126",1,2020
"AK0127",1,2014
"AK0127",1,2015
"AK0127",1,2016
"AK0127",1,2017
"AK0127",1,2018
"AK0127",1,2019
"AK0127",1,2020
"AK0130",1,2014
"AK0130",1,2015
"AK0130",1,2016
"AK0130",1,2017
"AK0130",1,2018
"AK0130",1,2019
"AK0130",1,2020
"AK0134",1,2014
"AK0134",1,2015
"AK0134",1,2016
"AK0134",1,2017
"AK0134",1,2018
"AK0134",1,2019
"AK0134",1,2020
"AK0135",1,2014
"AK0135",1,2015
"AK0135",1,2016
"AK0135",1,2017
"AK0135",1,2018
"AK0135",1,2019
"AK0136",1,2014
"AK0136",1,2015
"AK0136",1,2016
"AK0136",1,2017
"AK0137",1,2014
"AK0137",1,2015
"AK0137",1,2016
"AK0137",1,2017
"AK0137",1,2018
"AK0137",1,2019
"AK0137",1,2020
"AK0138",1,2016
"AK0138",1,2017
"AK0139",1,2016
"AK0139",1,2017
"AK0139",1,2018
"AK0139",1,2019
"AK0139",1,2020
"AK0140",1,2018
"AK0140",1,2019
"AK0140",1,2020
"AL0001",3,2014
"AL0001",3,2015
"AL0001",3,2016
"AL0001",3,2017
"AL0001",3,2018
"AL0001",3,2019
"AL0001",3,2020
"AL0002",2,2014
"AL0002",2,2015
"AL0002",2,2016
"AL0002",2,2017
"AL0002",2,2018
"AL0002",2,2019
"AL0002",2,2020
"AL0005",2,2014
"AL0005",2,2015
