"","ros_entity_number","ros_entity_name","ros_entity_type","ros_physical_address","ros_physical_city","ros_physical_state","ros_physical_zipcode"
"1352",17011365,"sam fore jr public library","library","1103 4th St","Floresville","TX",78114
"1353",17012392,"csme de naranjito (anones)","library","Carr. 814 Km 4.0 Bo. Anones Naranjito","Naranjito","PR",719
"1354",17012393,"csme la plata","library","Carr. 728 Km 0.5 Barrio La Plata","Aibonito","PR",786
"1355",17012394,"csme san luis","library","Calle Jerico # 1 Intercesión Calle Palestina","Aibonito","PR",705
"1356",17012401,"csme orocovis pueblo","library","104 Calle Ramos Antonini Int","Orocovis","PR",720
"1357",17012498,"menaul historical library of the southwest","library","301 Menaul Blvd Ne","Albuquerque","NM",87107
"1358",17012882,"jmrl - city data center","non-instructional facility (nif)","120 7th St Ne","Charlottesville","VA",22902
"1359",17014156,"archivo biblioteca","library","Carr Estatal 877 Km 0 4","Trujillo","PR",926
"1360",17015786,"maino community health library","library","1700 Mchenry Ave Ste 60b","Modesto","CA",95350
"1361",17016506,"kdla clark-cooper building","library","300 Coffee Tree Rd","Frankfort","KY",40601
"1362",17016508,"kdla state records center","non-instructional facility (nif)","1425 Leestown Rd","Frankfort","KY",40601
"1363",17019302,"eastern shore public library & heritage center","library","24313 Bennett Street","Parksley","VA",23421
"1364",17019958,"trimble county public library milton branch","library","10179 Hwy 421 N","Milton","KY",40045
"1365",17020852,"biblioteca aguedo mojica marrero","library","Ave. Jose Aguiar Aramburu Carr. 908 Km 1.2","Humacao","PR",792
"1366",17021729,"centro plaza leonardo avilés","library","Ave. Muñoz Rivera #116","Camuy","PR",627
"1367",17021833,"oficina de coordinacion y servicio region rio grande","library","Parcelas El Mamey Cienaga Bajas","Rio Grande - Escuela Julio Millan Cepeda","PR",970
"1368",17021834,"oficina de coordinacion y servicio region cabo rojo","library","Calle Medregal Casa A10","Cabo Rojo,","PR",623
"1369",17021835,"acción social de puerto rico, inc. - library","library","Barrio Monacillos # 19 Km 0.3 Bo","Guaynabo","PR",970
"1370",17022950,"voluntarios preocupados por la educación (villa del mar)","library","Villa Del Mar Calle 8","Santa Isabel","PR",757
"1371",17023719,"weyers cave library","library","51 Franklin Stree","Weyers Cave","VA",24486
