"","FSCSKEY","FSCS_SEQ","LIBNAME","STABR","ADDRESS","POPU_LSA","POP_CATEGORY","ros_entity_number","ros_entity_name"
"11027","NM0134",1,"QUESTA PUBLIC LIBRARY","NM","6 1/2 MUNICIPAL PARK ROAD",1770,"Under5k",17019541,"Questa Public Library"
"11028","NM0135",1,"VALLECITOS COMMUNITY CENTER AND LIBRARY","NM","13 COUNTY RD. 251",141,"Under5k",16074960,"Vallecitos Community Center And Library"
"11029","NM0136",1,"DAVID F. CARGO EL VALLE DE ANTON CHICO LIBRARY","NM","1077 NM SR 386",188,"Under5k",16057067,"David F. Cargo El Valle De Anton Chico Library"
"11030","NM0137",1,"ANTHONY PUBLIC LIBRARY","NM","750 LANDERS RD",9360,"5to25K",17013963,"Anthony Public Library"
"11031","NM0138",1,"TORREON COMMUNITY LIBRARY","NM","HWY 197 MM 26",326,"Under5k",NA,NA
"11032","NM0139",1,"DAVID F. CARGO LIBRARY @ VILLANUEVA","NM","11 LOS PUEBLOS ROAD",229,"Under5k",17025873,"David Cargo Library At Villanueva - El Valle Community Center"
"11033","NM0140",1,"VILLAGE OF SANTA CLARA LIBRARY","NM","105 N. BAYARD STREET",1686,"Under5k",NA,NA
"11034","NM0141",1,"CARRIZOZO COMMUNITY PUBLIC LIBRARY","NM","406 CENTRAL AVE",996,"Under5k",NA,NA
"11035","NV0001",2,"AMARGOSA VALLEY LIBRARY DISTRICT","NV","1660 EAST AMARGOSA FARM ROAD",1327,"Under5k",143393,"Amargosa Valley Community Libr"
"11036","NV0002",2,"BEATTY LIBRARY DISTRICT","NV","400 NORTH 4TH STREET",998,"Under5k",143386,"Beatty Library District"
"11037","NV0003",2,"BOULDER CITY LIBRARY","NV","701 ADAMS BOULEVARD",16188,"5to25K",NA,NA
"11038","NV0004",2,"CHURCHILL COUNTY LIBRARY","NV","553 S MAINE STREET",25832,"25to50K",NA,NA
"11039","NV0005",2,"PAHRUMP COMMUNITY LIBRARY","NV","701 EAST STREET",41069,"25to50K",143395,"Pahrump  Community  Library"
"11040","NV0006",2,"DOUGLAS COUNTY PUBLIC LIBRARY","NV","1625 LIBRARY LANE",49537,"25to50K",NA,NA
"11041","NV0006",3,"LAKE TAHOE BRANCH LIBRARY","NV","233 WARRIOR WAY",49537,"25to50K",NA,NA
"11042","NV0006",4,"DOUGLAS COUNTY BOOKMOBILE","NV","1625 LIBRARY LANE",49537,"25to50K",NA,NA
"11043","NV0007",2,"ELKO COUNTY LIBRARY","NV","720 COURT STREET",63180,"50to100K",143436,"Elko County Library"
"11044","NV0007",3,"AUSTIN BRANCH LIBRARY","NV","88 MAIN STREET",63180,"50to100K",NA,NA
"11045","NV0007",4,"BATTLE MOUNTAIN BRANCH LIBRARY","NV","625 S BROAD ST",63180,"50to100K",100288,"Battle Mountain Branch Library"
"11046","NV0007",6,"EUREKA BRANCH LIBRARY","NV","210 S MONROE",63180,"50to100K",NA,NA
"11047","NV0007",7,"TUSCARORA BRANCH LIBRARY","NV","55 WEED ST",63180,"50to100K",NA,NA
"11048","NV0007",8,"WELLS BRANCH LIBRARY","NV","208 BAKER ST",63180,"50to100K",NA,NA
"11049","NV0007",9,"WEST WENDOVER BRANCH LIBRARY","NV","590 CAMPER DR",63180,"50to100K",100303,"West Wendover Branch Library"
"11050","NV0007",10,"ELKO COUNTY BOOKMOBILE","NV","720 COURT STREET",63180,"50to100K",17022863,"Elko County Bookmobile"
"11051","NV0007",11,"CARLIN BRANCH LIBRARY","NV","330 MEMORY LANE",63180,"50to100K",17019522,"Carlin Branch Library"
"11052","NV0007",12,"CRESCENT VALLEY BRANCH LIBRARY","NV","5045 TENABO",63180,"50to100K",17019523,"Crescent Valley Branch Library"
"11053","NV0007",13,"JACKPOT BRANCH LIBRARY","NV","2301 PROGRESSIVE DR",63180,"50to100K",NA,NA
"11054","NV0008",3,"BLUE DIAMOND LIBRARY","NV","16A COTTONWOOD DR",1704216,"100Kover",99774,"Blue Diamond Library"
"11055","NV0008",4,"BUNKERVILLE LIBRARY","NV","10 W VIRGIN ST",1704216,"100Kover",99783,"Bunkerville Library"
"11056","NV0008",5,"WEST CHARLESTON LIBRARY","NV","6301 W. CHARLESTON BLVD",1704216,"100Kover",99899,"West Charleston Library"
"11057","NV0008",6,"CLARK COUNTY LIBRARY","NV","1401 E. FLAMINGO ROAD",1704216,"100Kover",100004,"Clark County Library"
"11058","NV0008",7,"ENTERPRISE LIBRARY","NV","25 E SHELBOURNE AVENUE",1704216,"100Kover",187712,"Enterprise Library"
"11059","NV0008",9,"GOODSPRINGS LIBRARY","NV","365 W SAN PEDRO AVE",1704216,"100Kover",99817,"Goodsprings Library"
"11060","NV0008",10,"INDIAN SPRINGS LIBRARY","NV","715 GRETTA LANE",1704216,"100Kover",99815,"Indian Springs Library"
"11061","NV0008",11,"LAUGHLIN LIBRARY","NV","2840 S NEEDLES HWY",1704216,"100Kover",99830,"Laughlin Library"
"11062","NV0008",14,"MOAPA TOWN LIBRARY","NV","1340 E HWY 168",1704216,"100Kover",99826,"Moapa Town Library"
"11063","NV0008",15,"MOAPA VALLEY LIBRARY","NV","350 N MOAPA VALLEY BLVD",1704216,"100Kover",99859,"Moapa Valley Library"
"11064","NV0008",16,"MOUNT CHARLESTON LIBRARY","NV","1252 ASPEN AVE",1704216,"100Kover",100039,"Mount Charleston Library"
"11065","NV0008",17,"RAINBOW LIBRARY","NV","3150 NORTH BUFFALO DR",1704216,"100Kover",100048,"Rainbow Library"
"11066","NV0008",19,"SANDY VALLEY LIBRARY","NV","650 W QUARTZ AVE",1704216,"100Kover",99816,"Sandy Valley Library"
"11067","NV0008",20,"SEARCHLIGHT LIBRARY","NV","200 MICHAEL WENDELL WAY",1704216,"100Kover",99866,"Searchlight Library"
"11068","NV0008",21,"SPRING VALLEY LIBRARY","NV","4280 SOUTH JONES BLVD",1704216,"100Kover",99912,"Spring Valley Library"
"11069","NV0008",22,"SUNRISE LIBRARY","NV","5400 HARRIS AVENUE",1704216,"100Kover",99971,"Sunrise Library"
"11070","NV0008",24,"WEST LAS VEGAS LIBRARY","NV","951 WEST LAKE MEAD BLVD",1704216,"100Kover",99932,"West Las Vegas Library"
"11071","NV0008",25,"SAHARA WEST LIBRARY","NV","9600 WEST SAHARA AVENUE",1704216,"100Kover",187726,"Sahara West Library"
"11072","NV0008",26,"MESQUITE LIBRARY CAMPUS","NV","160 W FIRST NORTH ST",1704216,"100Kover",187716,"Mesquite Library"
"11073","NV0008",27,"SUMMERLIN LIBRARY","NV","1771 INNER CIRCLE DRIVE",1704216,"100Kover",187732,"Summerlin Library"
"11074","NV0008",28,"WHITNEY LIBRARY","NV","5175 EAST TROPICANA AVE",1704216,"100Kover",187739,"Whitney Young Library"
"11075","NV0008",29,"MEADOWS VILLAGE LIBRARY AND HOMEWORK CENTER","NV","300 WEST BOSTON AVE",1704216,"100Kover",187714,"Meadows Library"
"11076","NV0008",30,"CENTENNIAL HILLS LIBRARY","NV","6711 NORTH BUFFALO DRIVE",1704216,"100Kover",16046289,"Centennial Hills Library"
"11077","NV0008",31,"WINDMILL LIBRARY","NV","7060 W WINDMILL LN",1704216,"100Kover",16065134,"Windmill Library"
"11078","NV0008",32,"EAST LAS VEGAS LIBRARY","NV","2851 EAST BONANZA ROAD",1704216,"100Kover",99882,"East Las Vegas Library"
"11079","NV0012",2,"GIBSON LIBRARY","NV","100 W LAKE MEAD PKWY",317660,"100Kover",16044767,"James I Gibson Library"
"11080","NV0012",6,"PASEO VERDE LIBRARY","NV","280 S GREEN VALLEY PKWY",317660,"100Kover",16044766,"Paseo Verde Library"
"11081","NV0012",14,"GREEN VALLEY LIBRARY","NV","2797 N GREEN VALLEY PKWY",317660,"100Kover",99790,"Green Valley Library"
"11082","NV0012",15,"HERITAGE PARK LIBRARY","NV","300 S. RACETRACK ROAD",317660,"100Kover",17006685,"Heritage Park Library"
"11083","NV0013",2,"HUMBOLDT COUNTY LIBRARY","NV","85 EAST 5TH STREET",17079,"5to25K",143425,"Winnemucca Branch Library"
"11084","NV0013",3,"DENIO BRANCH LIBRARY","NV","240 PUEBLO DRIVE",17079,"5to25K",17006820,"Denio Branch Library"
"11085","NV0013",4,"MCDERMITT BRANCH LIBRARY","NV","135 OREGON RD",17079,"5to25K",NA,NA
"11086","NV0013",5,"HUMBOLDT COUNTY BOOKMOBILE","NV","85 EAST 5TH STREET",17079,"5to25K",17006821,"Humboldt County Library Bookmobile"
"11087","NV0014",4,"CALIENTE BRANCH LIBRARY","NV","100 DEPOT AVE",5264,"5to25K",99785,"Caliente Branch Library"
"11088","NV0014",5,"LINCOLN COUNTY BOOKMOBILE","NV","63 MAIN STREET",5264,"5to25K",NA,NA
"11089","NV0014",6,"LINCOLN COUNTY LIBRARY","NV","63 MAIN ST",5264,"5to25K",143397,"Lincoln County Library"
"11090","NV0014",7,"ALAMO BRANCH LIBRARY","NV","100 S FIRST W",5264,"5to25K",99769,"Alamo Branch Library"
"11091","NV0015",2,"YERINGTON LIBRARY","NV","20 NEVIN WAY",56497,"50to100K",17027548,"Yerington Paiute Tribal Library"
"11092","NV0015",3,"DAYTON VALLEY BRANCH LIBRARY","NV","321 OLD DAYTON VALLEY ROAD",56497,"50to100K",NA,NA
"11093","NV0015",4,"FERNLEY BRANCH LIBRARY","NV","575 SILVER LACE BLVD",56497,"50to100K",NA,NA
"11094","NV0015",5,"SMITH VALLEY LIBRARY","NV","22 DAY LANE",56497,"50to100K",NA,NA
